This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
196211,   9.84,  11.13,  10.75,  17.63,  14.78
196212,   1.84,   1.66,   0.45,   0.88,   1.39
196301,   6.09,   4.75,   4.88,   5.66,   5.22
196302,  -2.39,  -1.93,  -3.09,  -2.58,  -0.49
196303,   4.12,   3.78,   2.34,   1.18,   2.94
196304,   4.44,   4.51,   5.06,   7.63,   5.93
196305,   4.49,   1.18,   1.78,  -0.25,   3.57
196306,  -2.13,  -1.10,  -3.47,  -1.09,  -1.37
196307,  -0.42,   0.24,  -0.42,   0.57,  -1.59
196308,   6.02,   5.02,   4.62,   9.57,   5.40
196309,  -0.44,  -2.07,   1.50,  -4.07,  -3.16
196310,   5.96,   0.95,   5.28,   3.39,   1.40
